letter;weight;rel_weight;x_avg;y_avg;rel_x_avg;rel_y_avg;inertia_x;rel_inertia_x;inertia_y;rel_inertia_y
ا;54;0.5192307692307693;1.6481481481481481;11.75925925925926;0.21604938271604937;0.4303703703703704;104.87277091906721;0.15155024699287167;76.72462277091907;0.11087373232791772
ب;154;0.18399044205495818;15.175324675324676;11.590909090909092;0.47251082251082255;0.4073426573426574;12.89462809917356;0.007629957455132283;338.8946280991735;0.2005293657391559
پ;175;0.20161290322580644;15.571428571428571;12.594285714285714;0.4857142857142857;0.4294179894179894;21.107461224489796;0.012095966317759195;302.95888979591837;0.1736154096251681
ت;165;0.2534562211981567;14.884848484848485;13.987878787878788;0.4628282828282828;0.6493939393939394;0.00014692378328741077;1.0479585113224733e-07;256.38802571166207;0.1828730568556791
ث;176;0.21836228287841192;14.727272727272727;17.869318181818183;0.4575757575757576;0.6747727272727273;1.2784413739669385;0.0007809660195277571;147.1534413739669;0.08989214500547764
ج;227;0.2533482142857143;10.07488986784141;15.28193832599119;0.33610703214227444;0.4607076879351997;137.31296939587415;0.07594743882515163;137.31296939587415;0.07594743882515163
چ;252;0.28125;10.507936507936508;15.563492063492063;0.35214579659024103;0.4697900665642601;130.79371378180903;0.07234165585277048;130.79371378180903;0.07234165585277048
ح;212;0.23660714285714285;9.952830188679245;15.165094339622641;0.33158630328441646;0.4569385270846013;140.06499199003204;0.07746957521572569;140.06499199003204;0.07746957521572569
خ;228;0.1893687707641196;10.008771929824562;24.50877192982456;0.3336582196231319;0.5597326649958229;182.0132348414897;0.06912770028161401;6.2062172976300385;0.0023570897446373103
د;90;0.4326923076923077;6.933333333333334;9.188888888888888;0.49444444444444446;0.5459259259259259;7.90234567901235;0.018593754538852588;7.90234567901235;0.018593754538852588
ذ;106;0.301994301994302;6.60377358490566;17.5;0.4669811320754717;0.6346153846153846;30.25;0.03368596881959911;30.25;0.03368596881959911
ر;75;0.25;9.666666666666666;11.466666666666667;0.619047619047619;0.5508771929824562;2.1511111111111116;0.0034417777777777784;6.417777777777777;0.010268444444444445
ز;92;0.1978494623655914;9.826086956521738;18.652173913043477;0.6304347826086956;0.5884057971014492;5.51228733459358;0.0046477970780721585;21.642722117202254;0.018248500941991784
ژ;111;0.21142857142857144;9.801801801801801;19.65765765765766;0.6287001287001287;0.5487546369899311;28.540621702783856;0.019683187381230247;32.009090171252346;0.022075234600863688
س;162;0.2071611253196931;16.358024691358025;12.074074074074074;0.4653946876169099;0.5033670033670034;50.042524005486975;0.02969882730295963;437.89437585733873;0.25987796786785683
ش;199;0.15818759936406995;18.261306532663315;22.105527638190956;0.5230698949291914;0.5862646566164155;9.6443019115679;0.003819525509531842;118.68952804222111;0.04700575368008757
ص;221;0.2125;21.4841628959276;12.158371040723981;0.5252349460494257;0.44633484162895926;37.92553387522777;0.016663239839731007;720.473045187445;0.31655230456390376
ض;237;0.16013513513513514;22.227848101265824;21.763713080168777;0.5443037974683544;0.576769807782466;22.6929623101711;0.00764330155276898;297.0895867827449;0.10006385543373018
ط;187;0.25686813186813184;13.27807486631016;19.11764705882353;0.4911229946524064;0.6710239651416122;0.013840830449826891;9.480020856045815e-06;34.60207612456748;0.023700052140114714
ظ;202;0.2774725274725275;13.643564356435643;18.14851485148515;0.5057425742574257;0.6351301796846351;0.725026958141357;0.000496593806946135;46.94284874031956;0.03215263612350655
ع;205;0.2074898785425101;7.975609756097561;21.4390243902439;0.27902439024390246;0.5524060646011865;157.7781082688876;0.07442363597589037;12.68054729327782;0.0059813902326782175
غ;220;0.1762820512820513;7.8545454545454545;29.44090909090909;0.2741818181818182;0.6051257253384913;211.96712809917355;0.07112990875811193;19.72167355371901;0.006618011259637252
ف;218;0.21372549019607842;19.6697247706422;20.55045871559633;0.5657492354740061;0.6741537488136666;0.20208736638330005;9.829152061444555e-05;154.99107819207134;0.07538476565762225
ق;194;0.25935828877005346;12.695876288659793;20.95876288659794;0.5569464899361807;0.6048109965635738;16.33159740673823;0.009958291101669651;0.0017004995217344975;1.0368899522771326e-06
ک;243;0.18229557389347337;21.090534979423868;18.864197530864196;0.47834607093866355;0.5954732510288065;355.85794848346285;0.1266398393179583;535.2653558908704;0.19048589177611047
گ;301;0.19444444444444445;23.162790697674417;20.60797342192691;0.5276854928017718;0.5602278120550546;213.39288749572302;0.06785147456143815;457.6188011169854;0.14550677301017026
ل;139;0.234006734006734;10.971223021582734;20.81294964028777;0.5865425306813373;0.6191546762589928;38.27959215361525;0.027091006478142426;14.538584959370628;0.010289161330057061
م;120;0.27149321266968324;4.908333333333333;10.25;0.32569444444444445;0.2803030303030303;10.5625;0.007971698113207547;3.0625;0.002311320754716981
ن;124;0.2551440329218107;8.814516129032258;16.467741935483872;0.4596774193548387;0.5949131513647643;2.3478147762747112;0.002229643662179213;0.2832986472424548;0.00026903955103746896
و;105;0.3125;10.304761904761905;10.304761904761905;0.6203174603174604;0.4652380952380953;0.09287981859410473;0.00013325655465438267;22.04526077097505;0.03162878159393838
ه;72;0.6666666666666666;4.152777777777778;5.847222222222222;0.3940972222222222;0.4406565656565657;9.940007716049383;0.04417781207133059;4.634452160493827;0.020597565157750342
ی;186;0.2976;13.387096774193548;14.612903225806452;0.5161290322580645;0.5672043010752689;112.63371488033299;0.09010697190426639;88.11758584807491;0.07049406867845993
